,ru,en,zh,es,pt,pt_BR,de,ja,fr,ko,pl,tr,uk,it
#msg_move_or_scan,"Переместите или сканируйте
папку с проектами","Move or scan your 
projects folder","移动或扫描
项目文件夹","Mover o escanear
carpeta de proyectos","Mova ou digitalize
pasta de projetos","Mover ou digitalizar
a pasta do projeto","Verschieben oder scannen
ordner mit Projekten","移動またはスキャン
プロジェクトフォルダ","Déplacer ou numériser
dossier de projet","이동 또는 스캔
프로젝트 폴더","Przenieś lub zeskanuj
folder z projektami",Projeleri içeren klasörü taşıyın veya tarayın,"Перемістіть або скануйте
папку з проектами","Sposta o scansiona
cartella Progetti"
#tab_settings,Настройки,Settings,设置,Ajustes,Definições,Configurações,Einstellung,設定,Paramètres,설정,Konfiguracja,Ayarlar,Настройка,Regolazioni
#label_language,Язык,Language,语言,Idioma,Língua,Língua,Sprachlich,言語,Langue,언어,Język,Dil,Мова,Lingua
#label_theme,Тема,Theme,主题,Tema,Tema,Tema,Thema,テーマ,Thème,주제,Temat,Konu,Тема,Tema
#tab_about,О программе,About,关于,Acerca de,Sobre,Sobre,Über,づﾂつｷﾂ。,Au sujet,프로그램에 대해,O programie,Program hakkında,Про програму,Informazioni sul programma
#btn_update,Обновить,Update,更新资料,Actualización,Actualização,Atualização,Update,更新,Mise à Jour,업데이트,Zaktualizować,Güncelle,Оновити,Aggiornare
#btn_details,Подробнее,Learn more,了解更多,Más información,Saiba mais,Saiba mais,Mehr erfahren,ﾂづﾂつｷﾂ。,En savoir plus,더 상세한,Szczegółowy,Daha fazla bilgi,Докладно,Dettagliato
#msg_about_description,"Спасибо, что используете Godot Hub для ваших проектов.
Я думаю вы и сами устали переключаться между версиями, установленными где то в недрах вашей системы, бороться с ярлыками и путаться, когда запускаешь не ту версию редактора.
Надеюсь Godot Hub поможет вам избавиться от рутины.

Ссылки: 
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Я буду рад, если вы сделаете какой-нибудь форк этого хаба или предложите мне идеи что еще можно было бы добавить в программу :)

Если вы хотите поддержать меня, то можете прислать пару долларов на мой крипто кошелек :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Ваш HorityFox ","Thank you for using Godot Hub for your projects.
I think you're tired of switching between versions installed deep within your system, struggling with shortcuts, and getting confused when launching the wrong editor version.
I hope Godot Hub helps you get rid of the routine.

Links:
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

I would be happy if you make a fork of this hub or suggest ideas on what else could be added to the program :)

If you want to support me, you can send a couple of dollars to my crypto wallet :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Yours, HorityFox","感谢您在项目中使用 Godot Hub。
我想您也厌倦了在系统中苦苦寻找不同版本的引擎、处理杂乱的快捷方式，以及因启动错误版本的编辑器而感到困惑。
希望 Godot Hub 能帮您摆脱这些繁琐的事务。

链接：
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

如果您能对这个仓库进行 Fork，或者向我提出关于程序功能的建议，我将不胜感激 :)

如果您想支持我，可以向我的加密货币钱包发送几美元 :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

您的 HorityFox","Gracias por usar Godot Hub para sus proyectos.
Creo que usted mismo está cansado de cambiar entre las versiones instaladas en algún lugar de las entrañas de su sistema, luchar con accesos directos y confundirse cuando ejecuta la versión incorrecta del Editor.
Espero que Godot Hub te ayude a deshacerte de la rutina.

Referencias: 
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Estaré encantado si haces alguna bifurcación de este centro o me ofreces ideas sobre qué más podría agregarse al programa :)

Si quieres apoyarme, puedes enviar un par de dólares a mi billetera criptográfica :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Su HorityFox","Obrigado por usar o Godot Hub para seus projetos.
Acho que você está cansado de alternar entre as versões instaladas no fundo do seu sistema, lutando com atalhos e ficando confuso ao iniciar a versão errada do editor.
Espero que o Godot Hub o ajude a livrar-se da rotina.

Ligações:
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Eu ficaria feliz se você fizesse um fork deste hub ou sugerisse idéias sobre o que mais poderia ser adicionado ao programa :)

Se você quiser me apoiar, pode enviar alguns dólares para minha carteira de criptografia :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Seu, HorityFox","Obrigado por usar o Godot Hub para seus projetos.
Acho que você está cansado de alternar entre versões instaladas no fundo do seu sistema, lutando com atalhos e ficando confuso ao iniciar a versão errada do editor.
Espero que o Godot Hub ajude você a se livrar da rotina.

Links:
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Eu ficaria feliz se você fizesse um fork deste hub ou sugerisse ideias sobre o que mais poderia ser adicionado ao programa :)

Se você quiser me apoiar, pode enviar alguns dólares para minha carteira de criptomoedas :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Seu, HorityFox","Vielen Dank, dass Sie Godot Hub für Ihre Projekte verwenden.
Ich glaube, Sie haben es satt, zwischen Versionen zu wechseln, die tief in Ihrem System installiert sind, mit Verknüpfungen zu kämpfen und verwirrt zu werden, wenn Sie die falsche Editorversion starten.
Ich hoffe, Godot Hub hilft dir, die Routine loszuwerden.

Links:
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Ich würde mich freuen, wenn Sie aus diesem Hub einen Fork machen oder Ideen vorschlagen, was noch zum Programm hinzugefügt werden könnte :)

Wenn Sie mich unterstützen möchten, können Sie ein paar Dollar an meine Krypto-Brieftasche senden :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Dein, HorityFox","「プロジェクトにGodot Hubをご利用いただきありがとうございます。
システムの奥深くにインストールされているバージョンを切り替えたり、ショートカットに苦労したり、間違ったエディタバージョンを起動すると混乱したりするのにうんざりしていると思います。
私はGodot Hubがあなたがルーチンを取り除くのを助けることを願っています。

リンク集:
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

このハブのフォークを作ったり、他に何をプログラムに追加できるかについてのアイデアを提案していただければ幸いです:)

あなたが私をサポートしたいなら、あなたは私の暗号財布に数ドルを送ることができます:)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

あなたの、HorityFox","Merci d'utiliser Godot Hub pour vos projets.
Je pense que vous en avez assez de basculer entre les versions installées au plus profond de votre système, de vous débattre avec des raccourcis et d'être confus lors du lancement de la mauvaise version de l'éditeur.
J'espère que Godot Hub vous aidera à vous débarrasser de la routine.

Liens:
Pour en savoir plus, rendez-vous sur la page d'accueil de github: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub [/url]

Je serais heureux si vous faisiez un fork de ce hub ou suggériez des idées sur ce qui pourrait être ajouté au programme :)

Si vous voulez me soutenir, vous pouvez envoyer quelques dollars à mon portefeuille crypto :)

TRC20 de l'USDT: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpmgmmr6vn6nz782um5jasxw9snmf0l8gr59hk pour la première fois
Étherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31 Numéro de pièce
TONNE de Toncoin: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Bien à vous, HorityFox","프로젝트에 고도트 허브를 사용해 주셔서 감사합니다.
나는 당신 자신이 바로 가기로 어려움을 겪고 당신이 편집기의 잘못된 버전을 실행할 때 혼란스러워지고,시스템의 깊이에 어딘가에 설치된 버전 사이를 전환 피곤 생각합니다.
나는 고도트 허브가 당신이 루틴을 제거하는 데 도움이되기를 바랍니다.

링크: 
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

이 허브의 일부 포크를 만들거나 프로그램에 추가 할 수있는 다른 것에 대한 아이디어를 제공하면 기쁠 것입니다.:)

당신이 나를 지원하고 싶다면,당신은 내 암호화 지갑에 몇 달러를 보낼 수 있습니다:)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

당신의 호리티 폭스","Dziękujemy za korzystanie z Godot Hub do swoich projektów.
Myślę, że sam jesteś zmęczony przełączaniem się między wersjami zainstalowanymi gdzieś w trzewiach systemu, walczeniem ze skrótami i myleniem się, gdy uruchamiasz niewłaściwą wersję edytora.
Mam nadzieję, że Godot Hub pomoże Ci pozbyć się rutyny.

Link: 
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Będę zadowolony, jeśli zrobisz jakiś rozwidlenie tego hubu lub zasugerujesz mi pomysły co jeszcze można by dodać do programu :)

Jeśli chcesz mnie wesprzeć, możesz wysłać kilka dolarów do mojego portfela kryptograficznego :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Twój HorityFox ","Projeleriniz için Godot Hub'ı kullandığınız için teşekkür ederiz.
Sanırım siz de sisteminizin derinliklerinde kurulu olan sürümler arasında geçiş yapmaktan, kısayollarla uğraşmaktan ve yanlış editör sürümünü başlattığınızda kafanızın karışmasından yorulmuşsunuzdur.
Umarım Godot Hub, rutininizden kurtulmanıza yardımcı olur. 

Bağlantılar: 
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Eğer bu hub'ın bir fork'unu yaparsanız veya programa başka neler eklenebileceği konusunda bana fikir sunarsanız çok memnun olurum :)

 Eğer beni desteklemek istiyorsanız, kripto cüzdanıma birkaç dolar gönderebilirsiniz :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

HorityFox'unuz ","Дякуємо, що використовуєте Godot Hub для своїх проектів.
Я думаю ви і самі втомилися перемикатися між версіями, встановленими десь в надрах вашої системи, боротися з ярликами і плутатися, коли запускаєш не ту версію редактора.
Сподіваюся Godot Hub допоможе вам позбутися від рутини.

Посилання: 
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Я буду радий, якщо ви зробите якусь вилку цього концентратора або запропонуєте мені ідеї що ще можна додати до програми :)

Якщо ви хочете підтримати мене, то можете надіслати пару доларів на мій крипто гаманець :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Ваш HorityFox ","Grazie per aver utilizzato Godot Hub per i tuoi progetti.
Penso che tu stesso sia stanco di passare tra le versioni installate da qualche parte nelle viscere del tuo sistema, combattere le scorciatoie e confonderti quando esegui la versione sbagliata dell'editor.
Spero che Godot Hub ti aiuti a sbarazzarti della routine.

Link: 
GitHub: [url=https://github.com/horityfoxy/GodotHub]https://github.com/horityfoxy/GodotHub[/url]

Sarò felice se fai qualche fork di questo hub o mi suggerisci idee cos'altro potrebbe essere aggiunto al programma :)

Se vuoi supportarmi, puoi inviare un paio di dollari al mio portafoglio crittografico :)

USDT TRC20: TFAZ75Tny81jHHS57ZaHh3gUzVVEJo796d
Bitcoin BTC: bc1qpsmghmr6vn6nz782um5jasxw9snmf0l8gr59hk
Etherium ETH: 0x6137d23C7A526Af45a49F34bb2Ce49797668Ab31
Toncoin TON: UQCA6X3HhuQiEHM6sPbF5XpP42vSkpJYkQOZhONM26l7XNZq

Il Tuo HorityFox "
#label_version,Версия,Version,版本,Versión,Versão,Versão,Version,バージョン,Version,버전,Wersja,Sürüm,Версія,Versione
#msg_confirm_action,Вы уверены?,Are you sure?,你肯定吗？,¿Está seguro?,Vocês têm certeza?,Tem certeza?,Bist du dir sicher?,本気？,Êtes-vous sûre?,확실해?,Na pewno?,Emin misiniz?,Ви впевнені?,Sei sicuro?
#btn_yes,Да,Yes,是的,Sí,Sim,Sim,Ja,はい。,Oui,예,Tak,Evet,Так,Sì
#btn_no,Нет,No,非也。,No,Não,No,Nein,いいえ。,Non,아니,Nie,Hayır,Ні,No
#title_download_manager,Менеджер загрузок Godot Engine,Godot Engine Download Manager,Godot引擎下载管理器,Administrador de descargas de Godot Engine,Godot Engine Download Manager,Godot Engine Gerenciador De Downloads,Godot Engine herunterladen Manager,Godotエンジンのダウンロードマネージャ,Gestionnaire de téléchargement du Moteur Godot,고도 엔진 다운로드 관리자,Menedżer pobierania Godot Engine,Godot Engine indirme yöneticisi,Менеджер завантажень Godot Engine,Gestione download di Godot Engine
#btn_find_on_disk,Найти на диске,Find on disk,在磁盘上查找,Buscar en disco,Encontrar no disco,Localizar no disco,Auf Festplatte suchen,ディスク上で検索,Rechercher sur le disque,얀 덱스에서 찾기.디스크,Znajdź na dysku,Diskte bul,Знайти на диску,Trova su disco
#msg_internet_permission,"Пожалуйста, разрешите Godot Hub доступ к интернету",Please allow Godot Hub to access the internet,请允许Godot Hub访问互联网,"Por favor, permita que Godot Hub acceda a Internet",Permita que o Godot Hub aceda à internet,Permita que o Godot Hub acesse a internet,Bitte erlaube Godot Hub den Zugriff auf das Internet,Godot Hubにインターネットへのアクセスを許可してください,Veuillez autoriser Godot Hub à accéder à Internet,고도트 허브가 인터넷에 접속할 수 있도록 허용하십시오.,Proszę zezwolić Godot Hub na dostęp do Internetu,Lütfen Godot Hub'ın internete erişimine izin verin,"Будь ласка, дозвольте Godot Hub отримати доступ до Інтернету",Si prega di consentire a Godot Hub di accedere a Internet
#btn_allow,Разрешить,Allow,允许,Permitir,Permitir,Permitir,Erlauben,許可する,Autoriser,허용,Dozwolić,İzin ver,Розв'язавши,Consentire
#status_searching,Ищем новые версии,Checking for new versions,检查新版本,Buscando nuevas versiones,Verificação de novas versões,Verificando novas versões,Nach neuen Versionen suchen,新しいバージョンの確認,Vérification des nouvelles versions,새 버전 찾기,Szukamy nowych wersji,Yeni sürümleri arıyoruz,Шукаємо нові версії,Alla ricerca di nuove versioni
#err_no_internet,Нет подключения к интернету,No internet connection,没有互联网连接,No hay conexión a Internet,Sem ligação à internet,Sem conexão com a internet,Keine Internetverbindung,インターネット接続なし,Pas de connexion internet,인터넷 연결 없음,Brak połączenia z Internetem,İnternet bağlantısı yok,Немає підключення до Інтернету,Nessuna connessione internet
#btn_retry,Повторить,Retry,重试,Repetir,Tentar novamente,Repetir,Retry,再試行,Réessayer,반복,Powtórzyć,Tekrar deneyin,Повторивши,Ripetere
#btn_download,Загрузить,Download,下载,Cargar,Baixar,Download,Herunterladen,ダウンロード,Télécharger,다운로드,Pobrać,İndir,Завантаживши,Caricare
#btn_reinstall,Переустановить,Reinstall,重新安装,Reinstalar,Reinstalar,Reinstalar,Installieren,再インストール,Réinstaller,다시 설치,Przeinstalować,Yeniden yükleyin,Переустановити,Reinstallare
#err_title,Ошибка,Error,错误,Error,Erro,Erro,Fehlermeldung,エラー,Erreur,실수,Błąd,Hata,Помилка,Errore
#err_general,Произошла ошибка,An error occurred,发生错误,Se ha producido un error,Ocorreu um erro,Ocorreu um erro,Ein Fehler ist aufgetreten,エラーが発生しました,Une erreur est survenue,오류가 발생했습니다.,Wystąpił błąd,Bir hata oluştu,Сталася помилка,Si è verificato un errore
#err_project_moved,"Похоже файлы вашего проекта были перемещены или удалены. Пожалуйста, укажите путь к вашему проекту.",It looks like your project files have been moved or deleted. Please specify the path to your project.,看起来您的项目文件已被移动或删除。 请指定项目的路径。,Parece que los archivos de su proyecto se han movido o eliminado. Por favor proporcione la ruta a su proyecto.,Parece que seus arquivos de projeto foram movidos ou excluídos. Especifique o caminho para o seu projeto.,Parece que seus arquivos de projeto foram movidos ou excluídos. Especifique o caminho para o seu projeto.,"Es sieht so aus, als ob Ihre Projektdateien verschoben oder gelöscht wurden. Bitte geben Sie den Pfad zu Ihrem Projekt an.",プロジェクトファイルが移動または削除されたようです。 プロジェクトへのパスを指定してください。,Il semble que vos fichiers de projet aient été déplacés ou supprimés. Veuillez préciser le chemin d'accès à votre projet.,프로젝트 파일이 이동되거나 삭제된 것 같습니다. 프로젝트의 경로를 지정하십시오.,"Wygląda na to, że pliki projektu zostały przeniesione lub usunięte. Proszę podać ścieżkę do swojego projektu.",Görünüşe göre projenizin dosyaları taşınmış veya silinmiş.  Lütfen projenizin yolunu belirtin.,"Схоже файли вашого проекту були переміщені або видалені. Будь ласка, вкажіть шлях до вашого проекту.",Sembra che i file del progetto siano stati spostati o eliminati. Si prega di specificare il percorso del progetto.
#btn_locate,Указать,Specify,指定,Indicar,Especificar,Especificar,Angeben,指定する,Précisez,지적,Podać,Belirtmek,Зазначити,Indicare
#msg_warning_title,Обратите внимание,Please note,请注意,Mire,Por favor note,Atenção,Hinweis,ご注意ください,Veuillez noter,주의,Zwrócić,Lütfen dikkat edin,Звернути увагу,Importante
#msg_warning_migration,Перевод проекта на иную версию может повлечь проблемы. Делайте все на свой страх и риск и имейте при себе резервную копию проекта!,Porting a project to a different version may cause issues. Do this at your own risk and keep a backup of the project!,将项目移植到其他版本可能会导致问题。 这样做你自己的风险，并保持项目的备份！,TRADUCIR el proyecto a una versión diferente puede causar problemas. ¡Haga todo bajo su propio riesgo y tenga una copia de seguridad del proyecto con usted!,Portar um projeto para uma versão diferente pode causar problemas. Faça isso por sua conta e risco e mantenha um backup do projeto!,Portar um projeto para uma versão diferente pode causar problemas. Faça isso por sua conta e risco e mantenha um backup do projeto!,Das Portieren eines Projekts auf eine andere Version kann zu Problemen führen. Tun Sie dies auf eigene Gefahr und sichern Sie das Projekt!,プロジェクトを別のバージョンに移植すると、問題が発生する可能性があります。 あなた自身の責任でこれを行い、プロジェクトのバックアップを保管してください！,Le portage d'un projet vers une version différente peut entraîner des problèmes. Faites - le à vos risques et périls et conservez une sauvegarde du projet!,프로젝트를 다른 버전으로 전송하면 문제가 발생할 수 있습니다. 자신의 위험에 모든 것을 할 당신과 함께 프로젝트의 백업 복사본을 가지고!,Przeniesienie projektu do innej wersji może powodować problemy. Zrób wszystko na własne ryzyko i miej przy sobie kopię zapasową projektu!,Projenin başka bir sürüme aktarılması sorunlara yol açabilir. Her şeyi kendi sorumluluğunuzda yapın ve yanınızda projenin yedek bir kopyasını bulundurun!,Переклад проекту на іншу версію може спричинити проблеми. Робіть все на свій страх і ризик і майте при собі резервну копію проекту!,Il trasferimento di un progetto a una versione diversa può comportare problemi. Fai tutto a tuo rischio e tieni con te un backup del progetto!
#btn_next,Далее,Next,下一个,A continuación,Seguinte,Proximo,Nächsten,次へ,Suivant,더 나아가,Dalej,Daha sonra,Далі,Quindi
#label_backup,Резервная копия,Backup,备份,Copia de seguridad,Backup,Backup,Sicherung,バックアップ,Sauvegarde,백업 복사본,Kopia zapasowa,Yedek kopya,Резервна копія,Backup
#label_select_version,Выберите новую версию движка,Select a new engine version,选择新的引擎版本,Seleccione una nueva versión del motor,Selecione uma nova versão do motor,Selecione uma nova versão do motor,Wählen Sie eine neue Motorversion,新しいエンジンバージョンの選択,Sélectionnez une nouvelle version de moteur,새 버전의 엔진 선택,Wybierz nową wersję silnika,Yeni bir motor sürümü seçin,Виберіть нову версію движка,Scegli una nuova versione del motore
#label_new_version_installed,Новая версия проекта из установленных Godot Engine,New version of the project from installed Godot Engines,已安装Godot引擎的项目新版本,Nueva versión del proyecto de Godot Engine instalado,Nova versão do projeto a partir de motores Godot instalados,Nova versão do projeto a partir dos motores Godot instalados,Neue Version des Projekts aus installierten Godot-Engines,インストールされているGodotエンジンからのプロジェクトの新しいバージョン,Nouvelle version du projet à partir des moteurs Godot installés,설치된 고도 엔진에서 프로젝트의 새로운 버전,Nowa wersja projektu z zainstalowanego silnika Godot,Godot Engine'den kurulu bir projenin yeni sürümü,Нова версія проекту з встановлених Godot Engine,Nuova versione del progetto da installato Godot Engine
#btn_update_version,Обновить версию,Update version,更新版本,Actualizar versión,Versão de actualização,Atualizar versão,Version aktualisieren,バージョンの更新,Mettre à jour la version,버전 업데이트,Zaktualizuj wersję,Sürümü güncelle,Оновити версію,Aggiorna versione
#err_engine_moved,Похоже исполняемый файл движка Godot Engine,It looks like the Godot Engine,它看起来像Godot引擎,Parece un ejecutable de Godot Engine,Parece que o motor Godot,Parece o motor Godot,Es sieht aus wie der Godot-Motor,それはGodotエンジンのように見えます,On dirait le moteur Godot,그것은 고도 엔진의 실행 파일처럼 보인다,"Wygląda na to, że plik wykonywalny silnika Godot Engine",Görünüşe göre Godot Engine'in yürütülebilir dosyası,Схоже виконуваний файл движка Godot Engine,Sembra il file eseguibile Del Motore Godot Engine
